model,interactor,chi2_stat,main_effect_comp,ubalanced_high_ptf,ptf_by_low_mtf_slope,ptf_by_high_mtf_slope,low_mTF_total,high_mTF_total,conflicting_sign
GAL11,CYC8,66.75617160088922,NA,TRUE,-0.003388038056149904,0.2237902672193909,3508,911,FALSE
RPH1,MSN2,50.10806539968818,NA,TRUE,-0.025125955904166816,0.1745586008894603,1614,912,FALSE
PGD1,ARG81,48.71361849466243,NA,FALSE,0.09377731448513049,0.07161300977848996,3087,984,FALSE
GAL11,STP1,46.279777521250914,NA,TRUE,0.1380265176133859,0.14790174270761816,3500,910,FALSE
DAL80,GZF3,41.4353248135329,NA,TRUE,-0.03457060760187988,0.13152656335797402,1707,914,FALSE
USV1,WTM1,39.74446330843918,NA,TRUE,0.07815853056883607,0.08167276127707145,2505,911,TRUE
RPH1,ERT1,35.07335026135679,NA,TRUE,0.08622814892630688,0.1266046254892174,1520,918,FALSE
USV1,AZF1,34.6036668055429,NA,FALSE,0.07497993586058178,0.06741955196587433,3370,916,FALSE
DAL80,MTH1,32.31856735437106,NA,TRUE,0.008167582703018088,0.07468088899073252,2742,917,FALSE
PGD1,SWI6,30.31396896912126,NA,FALSE,0.10348902960979213,0.09296083069786638,3620,917,FALSE
PGD1,GIS1,30.014436190066032,NA,TRUE,-0.015038629858091818,0.12611436677176247,1429,912,FALSE
CST6,ARG81,29.91479301744579,NA,TRUE,0.03696254733799401,0.049562180117939364,3087,984,FALSE
RPH1,RGM1,28.980400102515997,NA,TRUE,-0.02398367509542387,0.19230681792225532,1378,911,FALSE
SKN7,GIS1,28.422488501710585,NA,TRUE,-0.026402776394270012,0.2176379186902392,1429,912,FALSE
ZAP1,SWI4,28.372274863968507,NA,FALSE,0.036774309034107645,-0.036554547251744486,3786,917,FALSE
MED2,MET31,28.29312186213909,NA,TRUE,-0.11884788870267149,0.1193676167469837,1163,914,FALSE
RDS2,GZF3,28.128190933910393,NA,TRUE,-0.054668061049166466,0.059072812550982,1706,915,FALSE
CST6,GIS1,26.81321793506581,NA,TRUE,-0.03604694607590508,0.13607456184433805,1428,912,FALSE
RDS2,MSN2,26.763449384413917,NA,TRUE,-0.028681334254777216,0.02812177190212804,1614,910,FALSE
SKN7,PPR1,26.192754373455497,NA,TRUE,-0.009091673468656618,0.18272390929126,1855,925,FALSE
INO4,FKH2,24.50376226701294,NA,TRUE,0.01850811554838545,0.0354120188726778,2382,975,FALSE
MSN2,ASH1,23.108132910844457,NA,TRUE,0.041299029081678,0.2370262226393271,1238,918,FALSE
UME1,FKH2,22.917055401715004,NA,TRUE,-0.06624895964818768,-0.004397579339748431,2382,975,FALSE
CUP9,ERT1,21.588742090424546,NA,TRUE,0.1485007295179706,0.17594444034438694,1520,918,FALSE
CST6,ASH1,19.93000835282917,NA,TRUE,0.03292200551903589,0.04444179345978254,1237,919,FALSE
RPH1,TOG1,18.518721722515643,NA,TRUE,0.04467102497860329,0.11347196615383616,1002,928,FALSE
CIN5,OPI1,18.176198802043825,NA,TRUE,0.10920145999722596,0.12341045930611175,2069,963,FALSE
CIN5,IXR1,17.26383232249304,NA,TRUE,0.04338538220529655,0.22734087203130268,3156,923,FALSE
RDS2,RGM1,16.71920407004816,NA,TRUE,-0.09904846478974896,0.09260437094289217,1378,911,TRUE
GAT2,DAT1,16.488125137072068,NA,TRUE,0.013333324505061358,0.0681912215946612,1253,917,FALSE
HAP4,SMP1,16.14384187845123,NA,TRUE,-0.025580524317891165,0.09820276020220735,987,944,FALSE
INO4,SMP1,14.760303920548507,NA,TRUE,-0.05493525080336611,0.06628938001206615,987,943,FALSE
SKN7,HAA1,13.892837272001804,NA,TRUE,0.0029721282940893884,0.11133789186230275,1152,917,FALSE
RPH1,DAT1,12.348926670222651,NA,TRUE,0.022306102431803577,0.04329581215327163,1253,917,FALSE
OPI1,PPR1,12.159033843619106,NA,FALSE,0.009207917829620127,-0.023189500014308223,1855,925,FALSE
MSN2,GAL4,10.634206272555929,NA,TRUE,0.18213696215094172,0.3950596712432792,4746,910,FALSE
OAF1,MBP1,10.418500607374291,NA,TRUE,0.009086665223003202,0.09059901172198959,1493,922,FALSE
OPI1,FZF1,9.433843185085932,NA,TRUE,-0.04105579659024944,0.019041049541360558,971,943,FALSE
MIG1,CYC8,9.396383617900618,NA,TRUE,-0.016002013994050546,0.2638067934657801,3508,910,FALSE
GIS1,ARG80,8.88708550303194,NA,TRUE,0.04161296854416338,0.09421849782586125,2120,960,FALSE
MIG1,CBF1,8.19432475831524,NA,FALSE,0.25636424566584787,0.015942855049982642,916,911,FALSE
INO4,GAL4,8.006115330012335,NA,TRUE,0.03229635690491079,0.16282175575922417,4745,911,TRUE
MET4,SMP1,5.241325769576007,NA,FALSE,0.13088150995059444,0.03031310633871681,987,944,FALSE
MET31,SMP1,4.186643082176109,NA,FALSE,0.005357942717407062,0.003844869061455379,986,944,FALSE
DAL80,FKH2,2.5663642444237267,NA,FALSE,0.056974209071171907,0.03816688117847836,2382,975,FALSE
DAL80,CBF1,0.3489030225234084,NA,TRUE,-0.00876776463279962,0.016590543679556525,916,910,FALSE
MET31,GAL4,0.2251378153512095,NA,TRUE,-0.033365628059426194,0.10990600469090758,4745,911,FALSE
CHA4,LYS14,0.13882431893218938,NA,FALSE,-0.033352344457741365,-0.05321743894252994,4307,932,FALSE
